Laikotarpis;Rodiklis;Administracinė teritorija;Matavimo vienetai;Reikšmė
2008;Neto migracija;Druskininkų sav.;asmenys;-91
2009;Neto migracija;Druskininkų sav.;asmenys;-185
2010;Neto migracija;Druskininkų sav.;asmenys;-652
2011;Neto migracija;Druskininkų sav.;asmenys;-264
2012;Neto migracija;Druskininkų sav.;asmenys;-180
2013;Neto migracija;Druskininkų sav.;asmenys;-137
2014;Neto migracija;Druskininkų sav.;asmenys;-82
2015;Neto migracija;Druskininkų sav.;asmenys;-231
2016;Neto migracija;Druskininkų sav.;asmenys;-249
2017;Neto migracija;Druskininkų sav.;asmenys;-300
2018;Neto migracija;Druskininkų sav.;asmenys;-93
1990;Neto migracija;Lazdijų r. sav.;asmenys;
1991;Neto migracija;Lazdijų r. sav.;asmenys;
1992;Neto migracija;Lazdijų r. sav.;asmenys;
1993;Neto migracija;Lazdijų r. sav.;asmenys;
1994;Neto migracija;Lazdijų r. sav.;asmenys;-142
1995;Neto migracija;Lazdijų r. sav.;asmenys;96
1996;Neto migracija;Lazdijų r. sav.;asmenys;-101
1997;Neto migracija;Lazdijų r. sav.;asmenys;-21
1998;Neto migracija;Lazdijų r. sav.;asmenys;-87
1999;Neto migracija;Lazdijų r. sav.;asmenys;-64
2000;Neto migracija;Lazdijų r. sav.;asmenys;-16
2001;Neto migracija;Lazdijų r. sav.;asmenys;-74
2002;Neto migracija;Lazdijų r. sav.;asmenys;-59
2003;Neto migracija;Lazdijų r. sav.;asmenys;-148
2004;Neto migracija;Lazdijų r. sav.;asmenys;-282
2005;Neto migracija;Lazdijų r. sav.;asmenys;-452
2006;Neto migracija;Lazdijų r. sav.;asmenys;-244
2007;Neto migracija;Lazdijų r. sav.;asmenys;-265
2008;Neto migracija;Lazdijų r. sav.;asmenys;-162
2009;Neto migracija;Lazdijų r. sav.;asmenys;-181
2010;Neto migracija;Lazdijų r. sav.;asmenys;-314
2011;Neto migracija;Lazdijų r. sav.;asmenys;-215
2012;Neto migracija;Lazdijų r. sav.;asmenys;-160
2013;Neto migracija;Lazdijų r. sav.;asmenys;-188
2014;Neto migracija;Lazdijų r. sav.;asmenys;-179
2015;Neto migracija;Lazdijų r. sav.;asmenys;-174
2016;Neto migracija;Lazdijų r. sav.;asmenys;-351
2017;Neto migracija;Lazdijų r. sav.;asmenys;-438
2018;Neto migracija;Lazdijų r. sav.;asmenys;-167
1990;Neto migracija;Varėnos r. sav.;asmenys;
1991;Neto migracija;Varėnos r. sav.;asmenys;
1992;Neto migracija;Varėnos r. sav.;asmenys;
1993;Neto migracija;Varėnos r. sav.;asmenys;
1994;Neto migracija;Varėnos r. sav.;asmenys;-59
1995;Neto migracija;Varėnos r. sav.;asmenys;-1
1996;Neto migracija;Varėnos r. sav.;asmenys;-18
1997;Neto migracija;Varėnos r. sav.;asmenys;-230
1998;Neto migracija;Varėnos r. sav.;asmenys;-207
1999;Neto migracija;Varėnos r. sav.;asmenys;-95
2000;Neto migracija;Varėnos r. sav.;asmenys;-174
2001;Neto migracija;Varėnos r. sav.;asmenys;-144
2002;Neto migracija;Varėnos r. sav.;asmenys;-91
2003;Neto migracija;Varėnos r. sav.;asmenys;-226
2004;Neto migracija;Varėnos r. sav.;asmenys;-374
2005;Neto migracija;Varėnos r. sav.;asmenys;-376
2006;Neto migracija;Varėnos r. sav.;asmenys;-309
2007;Neto migracija;Varėnos r. sav.;asmenys;-227
2008;Neto migracija;Varėnos r. sav.;asmenys;-286
2009;Neto migracija;Varėnos r. sav.;asmenys;-243
2010;Neto migracija;Varėnos r. sav.;asmenys;-584
2011;Neto migracija;Varėnos r. sav.;asmenys;-307
2012;Neto migracija;Varėnos r. sav.;asmenys;-340
2013;Neto migracija;Varėnos r. sav.;asmenys;-175
2014;Neto migracija;Varėnos r. sav.;asmenys;-139
2015;Neto migracija;Varėnos r. sav.;asmenys;-273
2016;Neto migracija;Varėnos r. sav.;asmenys;-346
2017;Neto migracija;Varėnos r. sav.;asmenys;-364
2018;Neto migracija;Varėnos r. sav.;asmenys;-248
1990;Neto migracija;Birštono sav.;asmenys;
1991;Neto migracija;Birštono sav.;asmenys;
1992;Neto migracija;Birštono sav.;asmenys;
1993;Neto migracija;Birštono sav.;asmenys;
1994;Neto migracija;Birštono sav.;asmenys;-79
1995;Neto migracija;Birštono sav.;asmenys;-25
1996;Neto migracija;Birštono sav.;asmenys;-36
1997;Neto migracija;Birštono sav.;asmenys;-30
1998;Neto migracija;Birštono sav.;asmenys;-60
1999;Neto migracija;Birštono sav.;asmenys;-118
2000;Neto migracija;Birštono sav.;asmenys;-12
2001;Neto migracija;Birštono sav.;asmenys;-60
2002;Neto migracija;Birštono sav.;asmenys;-28
2003;Neto migracija;Birštono sav.;asmenys;-27
2004;Neto migracija;Birštono sav.;asmenys;-84
2005;Neto migracija;Birštono sav.;asmenys;-103
2006;Neto migracija;Birštono sav.;asmenys;-26
2007;Neto migracija;Birštono sav.;asmenys;26
2008;Neto migracija;Birštono sav.;asmenys;-60
2009;Neto migracija;Birštono sav.;asmenys;-83
2010;Neto migracija;Birštono sav.;asmenys;-60
2011;Neto migracija;Birštono sav.;asmenys;-23
2012;Neto migracija;Birštono sav.;asmenys;-49
2013;Neto migracija;Birštono sav.;asmenys;-44
2014;Neto migracija;Birštono sav.;asmenys;20
2015;Neto migracija;Birštono sav.;asmenys;-9
2016;Neto migracija;Birštono sav.;asmenys;-69
2017;Neto migracija;Birštono sav.;asmenys;-47
2018;Neto migracija;Birštono sav.;asmenys;-8
1990;Neto migracija;Jonavos r. sav.;asmenys;
1991;Neto migracija;Jonavos r. sav.;asmenys;
1992;Neto migracija;Jonavos r. sav.;asmenys;
1993;Neto migracija;Jonavos r. sav.;asmenys;
1994;Neto migracija;Jonavos r. sav.;asmenys;252
1995;Neto migracija;Jonavos r. sav.;asmenys;366
