neighbourhood;street;municipality;houses;overlap;str_type
Antakalnis;Šlamučių g. ;Vilnius;19;No;Kitas
Antakalnis;Švyturio g. ;Vilnius;24;No;Kitas
Antakalnis;T. Ivanausko g. ;Vilnius;4;No;Kitas
Antakalnis;Talkos Sodų 1-oji g. ;Vilnius;22;No;Sodas
Antakalnis;Talkos Sodų 2-oji g. ;Vilnius;23;No;Sodas
Antakalnis;Talkos Sodų 3-ioji g. ;Vilnius;14;No;Sodas
Antakalnis;Talkos Sodų 4-oji g. ;Vilnius;13;No;Sodas
Antakalnis;Taurijos g. ;Vilnius;45;No;Kitas
Antakalnis;Tramvajų g. ;Vilnius;14;No;Kitas
Antakalnis;Turniškių g. ;Vilnius;56;No;Kitas
Antakalnis;Turniškių Sodų g. ;Vilnius;41;No;Sodas
Antakalnis;Tverečiaus g. ;Vilnius;20;No;Kitas
Antakalnis;V. Grybo g. ;Vilnius;33;No;Kitas
Antakalnis;V. Sezemano g. ;Vilnius;6;No;Kitas
Antakalnis;Vaidilutės g. ;Vilnius;37;No;Kitas
Antakalnis;Valakupių g. ;Vilnius;29;No;Kitas
Antakalnis;Vanagų g. ;Vilnius;9;No;Kitas
Antakalnis;Vasaros g. ;Vilnius;28;No;Kitas
Antakalnis;Vėdrynų g. ;Vilnius;3;No;Kitas
Antakalnis;Veržuvos g. ;Vilnius;25;No;Kitas
Antakalnis;Veržuvos Sodų g. ;Vilnius;20;No;Sodas
Antakalnis;Viksvų g. ;Vilnius;5;No;Kitas
Antakalnis;Vikučionių g. ;Vilnius;12;No;Kitas
Antakalnis;Vinciūniškių g. ;Vilnius;24;No;Kitas
Antakalnis;Vinciūniškių Sodų 1-oji g. ;Vilnius;27;No;Sodas
Antakalnis;Vinciūniškių Sodų 10-oji g. ;Vilnius;12;No;Sodas
Antakalnis;Vinciūniškių Sodų 11-oji g. ;Vilnius;18;No;Sodas
Antakalnis;Vinciūniškių Sodų 12-oji g. ;Vilnius;17;No;Sodas
