Laikotarpis;Rodiklis;Administracinė teritorija;Gyvenamoji vietovė;Matavimo vienetai;Reikšmė
2013;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;95035
2014;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;95031
2015;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;95620
2016;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;95189
2017;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;95940
2018;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;96575
2019;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;98456
1996;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;74912
1997;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;74208
1998;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;73235
1999;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;72658
2000;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;72045
2001;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;71460
2002;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;71261
2003;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;71012
2004;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;70053
2005;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;68838
2006;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;67443
2007;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;66749
2008;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;65856
2009;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;64770
2010;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;63630
2011;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;60302
2012;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;58515
2013;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;57281
