;Laikotarpis;Administracinė teritorija;population;Amžius;women;proportion;population_women;population_men
323;2015;Elektrėnų sav.;24164.0;Iš viso pagal amžių;1112;0.556;13435.184000000001;10728.815999999999
324;2015;Elektrėnų sav.;24164.0;0–4;942;0.471;11381.243999999999;12782.756000000001
325;2015;Elektrėnų sav.;24164.0;5–9;741;0.3705;8952.762;15211.238
326;2015;Elektrėnų sav.;24164.0;10–14;1007;0.5035;12166.573999999999;11997.426000000001
327;2015;Elektrėnų sav.;24164.0;15–19;986;0.493;11912.851999999999;12251.148000000001
328;2015;Elektrėnų sav.;24164.0;20–24;918;0.459;11091.276;13072.724
329;2015;Elektrėnų sav.;24164.0;25–29;910;0.455;10994.62;13169.38
330;2015;Elektrėnų sav.;24164.0;30–34;805;0.4025;9726.01;14437.99
331;2015;Elektrėnų sav.;24164.0;35–39;989;0.4945;11949.098;12214.902
332;2015;Elektrėnų sav.;24164.0;40–44;1039;0.5195;12553.197999999999;11610.802000000001
333;2015;Elektrėnų sav.;24164.0;45–49;1055;0.5275;12746.509999999998;11417.490000000002
334;2015;Elektrėnų sav.;24164.0;50–54;1111;0.5555;13423.101999999999;10740.898000000001
335;2015;Elektrėnų sav.;24164.0;55–59;1131;0.5655;13664.742;10499.258
336;2015;Elektrėnų sav.;24164.0;60–64;1235;0.6175;14921.27;9242.73
337;2015;Elektrėnų sav.;24164.0;65–69;1337;0.6685;16153.634;8010.366
338;2015;Elektrėnų sav.;24164.0;70–74;1721;0.8605;20793.122;3370.8780000000006
339;2015;Elektrėnų sav.;24164.0;75 ir vyresni;2424;1.212;29286.768;-5122.768
340;2016;Elektrėnų sav.;23959.0;Iš viso pagal amžių;1112;0.556;13321.204000000002;10637.795999999998
341;2016;Elektrėnų sav.;23959.0;0–4;943;0.4715;11296.6685;12662.3315
342;2016;Elektrėnų sav.;23959.0;5–9;785;0.3925;9403.907500000001;14555.092499999999
343;2016;Elektrėnų sav.;23959.0;10–14;931;0.4655;11152.9145;12806.0855
344;2016;Elektrėnų sav.;23959.0;15–19;1012;0.506;12123.254;11835.746
345;2016;Elektrėnų sav.;23959.0;20–24;935;0.4675;11200.8325;12758.1675
346;2016;Elektrėnų sav.;23959.0;25–29;898;0.449;10757.591;13201.409
347;2016;Elektrėnų sav.;23959.0;30–34;819;0.4095;9811.2105;14147.7895
348;2016;Elektrėnų sav.;23959.0;35–39;1029;0.5145;12326.905499999999;11632.094500000001
349;2016;Elektrėnų sav.;23959.0;40–44;1038;0.519;12434.721;11524.279
350;2016;Elektrėnų sav.;23959.0;45–49;1022;0.511;12243.049;11715.951
351;2016;Elektrėnų sav.;23959.0;50–54;1086;0.543;13009.737000000001;10949.262999999999
352;2016;Elektrėnų sav.;23959.0;55–59;1158;0.579;13872.260999999999;10086.739000000001
353;2016;Elektrėnų sav.;23959.0;60–64;1248;0.624;14950.416;9008.584
354;2016;Elektrėnų sav.;23959.0;65–69;1354;0.677;16220.243;7738.757
355;2016;Elektrėnų sav.;23959.0;70–74;1613;0.8065;19322.9335;4636.066500000001
356;2016;Elektrėnų sav.;23959.0;75 ir vyresni;2347;1.1735;28115.8865;-4156.8865000000005
357;2017;Elektrėnų sav.;23770.0;Iš viso pagal amžių;1101;0.5505;13085.385;10684.615
358;2017;Elektrėnų sav.;23770.0;0–4;957;0.4785;11373.945;12396.055
359;2017;Elektrėnų sav.;23770.0;5–9;795;0.3975;9448.575;14321.425
360;2017;Elektrėnų sav.;23770.0;10–14;903;0.4515;10732.155;13037.845
361;2017;Elektrėnų sav.;23770.0;15–19;1002;0.501;11908.77;11861.23
362;2017;Elektrėnų sav.;23770.0;20–24;960;0.48;11409.6;12360.4
363;2017;Elektrėnų sav.;23770.0;25–29;864;0.432;10268.64;13501.36
364;2017;Elektrėnų sav.;23770.0;30–34;828;0.414;9840.779999999999;13929.220000000001
365;2017;Elektrėnų sav.;23770.0;35–39;917;0.4585;10898.545;12871.455
366;2017;Elektrėnų sav.;23770.0;40–44;1021;0.5105;12134.585;11635.415
367;2017;Elektrėnų sav.;23770.0;45–49;1010;0.505;12003.85;11766.15
368;2017;Elektrėnų sav.;23770.0;50–54;1003;0.5015;11920.654999999999;11849.345000000001
369;2017;Elektrėnų sav.;23770.0;55–59;1163;0.5815;13822.255000000001;9947.744999999999
370;2017;Elektrėnų sav.;23770.0;60–64;1207;0.6035;14345.195000000002;9424.804999999998
371;2017;Elektrėnų sav.;23770.0;65–69;1476;0.738;17542.26;6227.740000000002
372;2017;Elektrėnų sav.;23770.0;70–74;1655;0.8275;19669.675;4100.325000000001
373;2017;Elektrėnų sav.;23770.0;75 ir vyresni;2351;1.1755;27941.635;-4171.634999999998
374;2018;Elektrėnų sav.;23724.0;Iš viso pagal amžių;1071;0.5355;12704.202;11019.798
375;2018;Elektrėnų sav.;23724.0;0–4;990;0.495;11743.38;11980.62
376;2018;Elektrėnų sav.;23724.0;5–9;818;0.409;9703.116;14020.884
377;2018;Elektrėnų sav.;23724.0;10–14;847;0.4235;10047.114;13676.886
378;2018;Elektrėnų sav.;23724.0;15–19;981;0.4905;11636.622;12087.378
379;2018;Elektrėnų sav.;23724.0;20–24;973;0.4865;11541.726;12182.274
380;2018;Elektrėnų sav.;23724.0;25–29;874;0.437;10367.388;13356.612
381;2018;Elektrėnų sav.;23724.0;30–34;815;0.4075;9667.529999999999;14056.470000000001
382;2018;Elektrėnų sav.;23724.0;35–39;844;0.422;10011.528;13712.472
383;2018;Elektrėnų sav.;23724.0;40–44;844;0.422;10011.528;13712.472
384;2018;Elektrėnų sav.;23724.0;45–49;944;0.472;11197.728;12526.272
385;2018;Elektrėnų sav.;23724.0;50–54;978;0.489;11601.036;12122.964
386;2018;Elektrėnų sav.;23724.0;55–59;1108;0.554;13143.096000000001;10580.903999999999
387;2018;Elektrėnų sav.;23724.0;60–64;1173;0.5865;13914.126;9809.874
388;2018;Elektrėnų sav.;23724.0;65–69;1436;0.718;17033.832;6690.1680000000015
