Laikotarpis;Rodiklis;Administracinė teritorija;Gyvenamoji vietovė;Matavimo vienetai;Reikšmė
2000;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;20.7
2001;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;20.7
2002;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;20.8
2003;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;21.0
2004;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;21.4
2005;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;22.0
2006;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;21.5
2007;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;21.9
2008;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;22.8
2009;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;23.6
2010;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;24.9
2011;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;25.9
2012;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;26.4
2013;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;26.9
2014;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;27.6
2015;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;28.3
2016;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;29.4
2017;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;30.4
2018;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;31.1
1995;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;26.6
1996;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;26.6
1997;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;26.4
1998;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;26.4
1999;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;26.7
2000;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;27.6
2001;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;28.1
2002;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;28.5
2003;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;28.8
2004;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;29.3
2005;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;30.1
2006;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;30.8
2007;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;31.6
2008;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;32.4
2009;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;38.4
2010;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;39.6
2011;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;41.1
2012;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;41.8
2013;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;42.2
2014;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;44.0
2015;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;45.0
2016;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;46.5
2017;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;48.2
2018;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus r. sav.;Miestas ir kaimas;m²;48.4
1995;Naudingasis plotas, tenkantis vienam gyventojui;Druskininkų sav.;Miestas ir kaimas;m²;17.0
1996;Naudingasis plotas, tenkantis vienam gyventojui;Druskininkų sav.;Miestas ir kaimas;m²;18.4
1997;Naudingasis plotas, tenkantis vienam gyventojui;Druskininkų sav.;Miestas ir kaimas;m²;18.3
