Laikotarpis;Rodiklis;Individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (COICOP);Gyvenamoji vietovė;Vartojimo išlaidos;Matavimo vienetai;Reikšmė
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;19.1
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;1.7
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;1.9
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;2.5
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;2.2
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;2.1
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;2.0
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;2.4
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;2.3
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;6.0
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;6.0
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;8.3
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;9.2
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;11.3
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;12.6
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;7.8
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;10.8
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;6.4
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;7.1
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;8.1
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;9.8
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;10.5
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;12.1
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;12.3
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;17.3
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas;Piniginės ir natūrinės išlaidos;EUR;164.0
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas;Piniginės ir natūrinės išlaidos;EUR;171.4
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas;Piniginės ir natūrinės išlaidos;EUR;196.8
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas;Piniginės ir natūrinės išlaidos;EUR;220.2
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas;Piniginės ir natūrinės išlaidos;EUR;257.9
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas;Piniginės ir natūrinės išlaidos;EUR;263.1
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas;Piniginės ir natūrinės išlaidos;EUR;267.3
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas;Piniginės ir natūrinės išlaidos;EUR;321.4
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas;Piniginės ir natūrinės išlaidos;EUR;53.5
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas;Piniginės ir natūrinės išlaidos;EUR;55.0
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas;Piniginės ir natūrinės išlaidos;EUR;60.1
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas;Piniginės ir natūrinės išlaidos;EUR;62.2
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas;Piniginės ir natūrinės išlaidos;EUR;71.5
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas;Piniginės ir natūrinės išlaidos;EUR;80.0
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas;Piniginės ir natūrinės išlaidos;EUR;84.6
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas;Piniginės ir natūrinės išlaidos;EUR;94.9
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas;Piniginės ir natūrinės išlaidos;EUR;5.9
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas;Piniginės ir natūrinės išlaidos;EUR;6.1
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas;Piniginės ir natūrinės išlaidos;EUR;7.1
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas;Piniginės ir natūrinės išlaidos;EUR;7.7
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas;Piniginės ir natūrinės išlaidos;EUR;8.5
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas;Piniginės ir natūrinės išlaidos;EUR;9.2
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas;Piniginės ir natūrinės išlaidos;EUR;8.4
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas;Piniginės ir natūrinės išlaidos;EUR;11.7
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas;Piniginės ir natūrinės išlaidos;EUR;13.8
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas;Piniginės ir natūrinės išlaidos;EUR;14.5
