Laikotarpis;Rodiklis;Administracinė teritorija;Amžius;Matavimo vienetai;Reikšmė
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;1116
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;1115
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;1117
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;1123
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;1123
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;1122
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;1128
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;1134
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;1129
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;1134
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;1132
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;1128
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;1125
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;1123
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;1113
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;1113
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;1117
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;1111
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;1099
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;1143
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;1143
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;1147
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;1149
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;1148
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;1149
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;1153
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;1151
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;1143
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;1139
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;1138
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;1135
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;1128
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;1125
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;1124
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;1119
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;1121
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;1117
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Švenčionių r. sav.;Iš viso pagal amžių;asmenys;1114
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;1133
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;1135
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;1135
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;1136
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;1141
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;1143
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;1145
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;1144
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;1133
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;1134
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;1137
