Laikotarpis;Rodiklis;Administracinė teritorija;Matavimo vienetai;Reikšmė
2013;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;8.1
2014;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;6.9
2015;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;6.4
2016;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;5.9
2017;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;6.1
2018;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;7.1
1993;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;
1994;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;
1995;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;
1996;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;
1997;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;10.6
1998;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;8.5
1999;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;10.3
2000;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;14.2
2001;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;15.4
2002;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;14.2
2003;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;11.4
2004;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;9.9
2005;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;7.2
2006;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;5.2
2007;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;4.7
2008;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;5.0
2009;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;12.9
