;neighbourhood;street;municipality;houses;str_type
266;Antakalnis;Pupų g. ;Vilnius;124;Kitas
267;Antakalnis;Purienų g. ;Vilnius;14;Kitas
268;Antakalnis;Rasakilų g. ;Vilnius;5;Kitas
269;Antakalnis;Rato g. ;Vilnius;26;Kitas
270;Antakalnis;Rokantiškių g. ;Vilnius;53 iš 82;Kitas
271;Antakalnis;Rokantiškių Sodų g. ;Vilnius;11;Sodas
272;Antakalnis;Rokantiškių Sodų 1-oji g. ;Vilnius;9;Sodas
273;Antakalnis;Rokantiškių Sodų 10-oji g. ;Vilnius;27;Sodas
274;Antakalnis;Rokantiškių Sodų 11-oji g. ;Vilnius;28;Sodas
275;Antakalnis;Rokantiškių Sodų 12-oji g. ;Vilnius;18;Sodas
276;Antakalnis;Rokantiškių Sodų 13-oji g. ;Vilnius;12;Sodas
277;Antakalnis;Rokantiškių Sodų 14-oji g. ;Vilnius;9;Sodas
278;Antakalnis;Rokantiškių Sodų 15-oji g. ;Vilnius;12;Sodas
279;Antakalnis;Rokantiškių Sodų 16-oji g. ;Vilnius;15;Sodas
280;Antakalnis;Rokantiškių Sodų 17-oji g. ;Vilnius;15;Sodas
281;Antakalnis;Rokantiškių Sodų 2-oji g. ;Vilnius;21;Sodas
282;Antakalnis;Rokantiškių Sodų 3-ioji g. ;Vilnius;19;Sodas
283;Antakalnis;Rokantiškių Sodų 4-oji g. ;Vilnius;20;Sodas
284;Antakalnis;Rokantiškių Sodų 5-oji g. ;Vilnius;15;Sodas
285;Antakalnis;Rokantiškių Sodų 6-oji g. ;Vilnius;14;Sodas
286;Antakalnis;Rokantiškių Sodų 7-oji g. ;Vilnius;15;Sodas
287;Antakalnis;Rokantiškių Sodų 8-oji g. ;Vilnius;35;Sodas
288;Antakalnis;Rokantiškių Sodų 9-oji g. ;Vilnius;31;Sodas
289;Antakalnis;Rudausių g. ;Vilnius;27;Kitas
290;Antakalnis;Rudausių Sodų 1-oji g. ;Vilnius;9;Sodas
291;Antakalnis;Rudausių Sodų 10-oji g. ;Vilnius;17;Sodas
