year;permanent_residents;permanent_residents_value;median_age;Lytis_Moterys;Lytis_Vyrai;population_density;population_density_measure;population_density_value;useful_area;useful_area_measure;useful_area_value;average_housing;average_housing_measure;average_housing_value;neto_migration;neto_migration_measure;neto_migration_value;unemployment;unemployment_measure;unemployment_value;country;area;district;municipality
2002;Nuolatinių gyventojų skaičius metų pradžioje;57119.0;Medianinis gyventojų amžius metų pradžioje;38.0;33.0;Gyventojų tankis metų pradžioje;viename km²;39.7;Naudingasis plotas, tenkantis vienam gyventojui;m²;24.6;Vidutinis būsto dydis;m²;65.5;Neto migracija;asmenys;-376.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;8.4;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Telšių r. sav.
2003;Nuolatinių gyventojų skaičius metų pradžioje;56541.0;Medianinis gyventojų amžius metų pradžioje;38.0;33.0;Gyventojų tankis metų pradžioje;viename km²;39.3;Naudingasis plotas, tenkantis vienam gyventojui;m²;22.6;Vidutinis būsto dydis;m²;65.5;Neto migracija;asmenys;-735.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;7.7;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Telšių r. sav.
2004;Nuolatinių gyventojų skaičius metų pradžioje;55587.0;Medianinis gyventojų amžius metų pradžioje;39.0;34.0;Gyventojų tankis metų pradžioje;viename km²;38.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;22.8;Vidutinis būsto dydis;m²;65.5;Neto migracija;asmenys;-873.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;7.6;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Telšių r. sav.
2005;Nuolatinių gyventojų skaičius metų pradžioje;54561.0;Medianinis gyventojų amžius metų pradžioje;40.0;34.0;Gyventojų tankis metų pradžioje;viename km²;37.9;Naudingasis plotas, tenkantis vienam gyventojui;m²;23.5;Vidutinis būsto dydis;m²;65.6;Neto migracija;asmenys;-1445.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;4.8;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Telšių r. sav.
2006;Nuolatinių gyventojų skaičius metų pradžioje;52882.0;Medianinis gyventojų amžius metų pradžioje;40.0;34.0;Gyventojų tankis metų pradžioje;viename km²;36.7;Naudingasis plotas, tenkantis vienam gyventojui;m²;24.2;Vidutinis būsto dydis;m²;65.5;Neto migracija;asmenys;-1071.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;3.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Telšių r. sav.
2007;Nuolatinių gyventojų skaičius metų pradžioje;51592.0;Medianinis gyventojų amžius metų pradžioje;41.0;35.0;Gyventojų tankis metų pradžioje;viename km²;35.9;Naudingasis plotas, tenkantis vienam gyventojui;m²;24.6;Vidutinis būsto dydis;m²;65.7;Neto migracija;asmenys;-724.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;3.4;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Telšių r. sav.
2008;Nuolatinių gyventojų skaičius metų pradžioje;50589.0;Medianinis gyventojų amžius metų pradžioje;41.0;35.0;Gyventojų tankis metų pradžioje;viename km²;35.2;Naudingasis plotas, tenkantis vienam gyventojui;m²;25.1;Vidutinis būsto dydis;m²;65.7;Neto migracija;asmenys;-616.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;4.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Telšių r. sav.
2009;Nuolatinių gyventojų skaičius metų pradžioje;49789.0;Medianinis gyventojų amžius metų pradžioje;42.0;36.0;Gyventojų tankis metų pradžioje;viename km²;34.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;27.0;Vidutinis būsto dydis;m²;69.1;Neto migracija;asmenys;-908.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;13.3;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Telšių r. sav.
2010;Nuolatinių gyventojų skaičius metų pradžioje;48655.0;Medianinis gyventojų amžius metų pradžioje;42.0;36.0;Gyventojų tankis metų pradžioje;viename km²;33.8;Naudingasis plotas, tenkantis vienam gyventojui;m²;27.9;Vidutinis būsto dydis;m²;69.1;Neto migracija;asmenys;-1287.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;19.0;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Telšių r. sav.
2011;Nuolatinių gyventojų skaičius metų pradžioje;47171.0;Medianinis gyventojų amžius metų pradžioje;44.0;38.0;Gyventojų tankis metų pradžioje;viename km²;32.8;Naudingasis plotas, tenkantis vienam gyventojui;m²;28.8;Vidutinis būsto dydis;m²;69.7;Neto migracija;asmenys;-678.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;14.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Telšių r. sav.
