year;permanent_residents;permanent_residents_value;median_age;Lytis_Moterys;Lytis_Vyrai;population_density;population_density_measure;population_density_value;useful_area;useful_area_measure;useful_area_value;average_housing;average_housing_measure;average_housing_value;neto_migration;neto_migration_measure;neto_migration_value;unemployment;unemployment_measure;unemployment_value;country;area;district;municipality
2002;Nuolatinių gyventojų skaičius metų pradžioje;43809.0;Medianinis gyventojų amžius metų pradžioje;37.0;32.0;Gyventojų tankis metų pradžioje;viename km²;39.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;22.9;Vidutinis būsto dydis;m²;67.4;Neto migracija;asmenys;-8.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;7.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Plungės r. sav.
2003;Nuolatinių gyventojų skaičius metų pradžioje;43676.0;Medianinis gyventojų amžius metų pradžioje;37.0;32.0;Gyventojų tankis metų pradžioje;viename km²;39.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;23.1;Vidutinis būsto dydis;m²;67.4;Neto migracija;asmenys;-256.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;6.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Plungės r. sav.
2004;Nuolatinių gyventojų skaičius metų pradžioje;43349.0;Medianinis gyventojų amžius metų pradžioje;38.0;33.0;Gyventojų tankis metų pradžioje;viename km²;39.2;Naudingasis plotas, tenkantis vienam gyventojui;m²;24.2;Vidutinis būsto dydis;m²;67.4;Neto migracija;asmenys;-436.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;5.8;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Plungės r. sav.
2005;Nuolatinių gyventojų skaičius metų pradžioje;42832.0;Medianinis gyventojų amžius metų pradžioje;38.0;33.0;Gyventojų tankis metų pradžioje;viename km²;38.8;Naudingasis plotas, tenkantis vienam gyventojui;m²;25.0;Vidutinis būsto dydis;m²;67.8;Neto migracija;asmenys;-1111.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;3.2;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Plungės r. sav.
2006;Nuolatinių gyventojų skaičius metų pradžioje;41588.0;Medianinis gyventojų amžius metų pradžioje;39.0;34.0;Gyventojų tankis metų pradžioje;viename km²;37.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;25.4;Vidutinis būsto dydis;m²;67.8;Neto migracija;asmenys;-507.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;2.6;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Plungės r. sav.
2007;Nuolatinių gyventojų skaičius metų pradžioje;40961.0;Medianinis gyventojų amžius metų pradžioje;39.0;34.0;Gyventojų tankis metų pradžioje;viename km²;37.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;25.8;Vidutinis būsto dydis;m²;68.2;Neto migracija;asmenys;-348.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;3.1;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Plungės r. sav.
2008;Nuolatinių gyventojų skaičius metų pradžioje;40473.0;Medianinis gyventojų amžius metų pradžioje;40.0;34.0;Gyventojų tankis metų pradžioje;viename km²;36.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;25.7;Vidutinis būsto dydis;m²;69.1;Neto migracija;asmenys;-308.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;4.4;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Plungės r. sav.
2009;Nuolatinių gyventojų skaičius metų pradžioje;40095.0;Medianinis gyventojų amžius metų pradžioje;40.0;35.0;Gyventojų tankis metų pradžioje;viename km²;36.3;Naudingasis plotas, tenkantis vienam gyventojui;m²;26.3;Vidutinis būsto dydis;m²;74.0;Neto migracija;asmenys;-363.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;11.2;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Plungės r. sav.
2010;Nuolatinių gyventojų skaičius metų pradžioje;39611.0;Medianinis gyventojų amžius metų pradžioje;41.0;35.0;Gyventojų tankis metų pradžioje;viename km²;35.8;Naudingasis plotas, tenkantis vienam gyventojui;m²;27.2;Vidutinis būsto dydis;m²;74.1;Neto migracija;asmenys;-1228.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;17.0;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Plungės r. sav.
2011;Nuolatinių gyventojų skaičius metų pradžioje;38275.0;Medianinis gyventojų amžius metų pradžioje;42.0;37.0;Gyventojų tankis metų pradžioje;viename km²;34.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;28.4;Vidutinis būsto dydis;m²;74.9;Neto migracija;asmenys;-559.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;12.8;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Plungės r. sav.
2012;Nuolatinių gyventojų skaičius metų pradžioje;37576.0;Medianinis gyventojų amžius metų pradžioje;43.0;38.0;Gyventojų tankis metų pradžioje;viename km²;34.0;Naudingasis plotas, tenkantis vienam gyventojui;m²;28.8;Vidutinis būsto dydis;m²;74.8;Neto migracija;asmenys;-429.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;11.4;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Plungės r. sav.
2013;Nuolatinių gyventojų skaičius metų pradžioje;37082.0;Medianinis gyventojų amžius metų pradžioje;44.0;38.0;Gyventojų tankis metų pradžioje;viename km²;33.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;29.3;Vidutinis būsto dydis;m²;74.8;Neto migracija;asmenys;-431.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;10.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Plungės r. sav.
2014;Nuolatinių gyventojų skaičius metų pradžioje;36498.0;Medianinis gyventojų amžius metų pradžioje;44.0;38.0;Gyventojų tankis metų pradžioje;viename km²;33.0;Naudingasis plotas, tenkantis vienam gyventojui;m²;30.7;Vidutinis būsto dydis;m²;75.2;Neto migracija;asmenys;-292.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;8.7;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Plungės r. sav.
2015;Nuolatinių gyventojų skaičius metų pradžioje;36052.0;Medianinis gyventojų amžius metų pradžioje;45.0;39.0;Gyventojų tankis metų pradžioje;viename km²;32.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;31.5;Vidutinis būsto dydis;m²;75.5;Neto migracija;asmenys;-455.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;8.0;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Plungės r. sav.
2016;Nuolatinių gyventojų skaičius metų pradžioje;35514.0;Medianinis gyventojų amžius metų pradžioje;46.0;39.0;Gyventojų tankis metų pradžioje;viename km²;32.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;32.5;Vidutinis būsto dydis;m²;75.9;Neto migracija;asmenys;-699.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;7.1;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Plungės r. sav.
2017;Nuolatinių gyventojų skaičius metų pradžioje;34737.0;Medianinis gyventojų amžius metų pradžioje;46.0;40.0;Gyventojų tankis metų pradžioje;viename km²;31.4;Naudingasis plotas, tenkantis vienam gyventojui;m²;34.0;Vidutinis būsto dydis;m²;76.2;Neto migracija;asmenys;-885.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;6.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Plungės r. sav.
